From,To,Weight,Impact Factor
MARIT POLICY MANAG,SAFETY SCI,32,2.246
BMC PUBLIC HEALTH,HEALTH PSYCHOL REV,35,7.241
AM ECON REV,J FINANC,151,6.043
PLOS ONE,PSYCHOTHER PSYCHOSOM,72,8.964
BEHAV RES THER,J ANXIETY DISORD,132,3.105
FRONT PSYCHOL,INT J PSYCHOPHYSIOL,201,2.582
TECHNOL ANAL STRATEG,TECHNOL ANAL STRATEG,204,1.273
INFORM DEV,MIS QUART,233,7.268
BMJ OPEN,FIELD METHOD,12,1.346
POLIT RES QUART,AM J POLIT SCI,185,5.044
CHEM EDUC RES PRACT,INT J SCI MATH EDUC,35,1.474
INT J SUST HIGHER ED,J GEOGR HIGHER EDUC,15,0.529
FRONT PSYCHOL,VERHALTENSTHERAPIE,7,0.878
INT J PROD RES,J PURCH SUPPLY MANAG,40,3.240
Q J EXP PSYCHOL,J EXP PSYCHOL HUMAN,212,2.287
ACTA PSYCHOL,ACTA PSYCHOL,156,2.031
COMPUT HUM BEHAV,J KNOWL MANAG,42,2.053
J PHYS ACT HEALTH,AM J HEALTH PROMOT,47,2.586
DEV PSYCHOL,CURR DIR PSYCHOL SCI,68,5.255
ENTERP INF SYST-UK,INFORM TECHNOL MANAG,13,1.067
GROUP ORGAN MANAGE,ADMIN SCI QUART,61,4.929
J BUS RES,J ORGAN CHANGE MANAG,33,0.761
SCIENTOMETRICS,SOC NETWORKS,47,2.462
J HEALTH SOC BEHAV,J GERONTOL B-PSYCHOL,44,3.064
INTERACT LEARN ENVIR,INTERACT LEARN ENVIR,105,1.674
J OFF STAT,SURV RES METHODS-GER,5,0.452
INT J STRESS MANAGE,J OCCUP HEALTH PSYCH,34,2.679
J ECON MANAGE STRAT,J POLIT ECON,55,3.923
J CRIM JUST,CRIMINOLOGY,244,5.019
J MEM LANG,COGNITIVE PSYCHOL,101,3.719
PSYCHOL ASSESSMENT,APPL PSYCH MEAS,34,0.885
COGNITION,J MEM LANG,293,3.065
CURR PSYCHOL,PERS INDIV DIFFER,107,2.005
J HUM RESOUR,J HUM RESOUR,54,4.047
GIFTED CHILD QUART,GIFTED CHILD QUART,152,1.372
CLIN PSYCHOL-UK,BEHAV RES THER,29,4.064
RES THEOR NURS PRACT,PATIENT EDUC COUNS,10,2.429
J LABOR ECON,REV ECON STUD,49,4.03
QUAL INQ,QUAL INQ,138,1.159
J CONSTR ENG M,INT J PROJ MANAG,240,4.034
J MANAGE PSYCHOL,HUM RESOUR MANAG J,10,2.147
J AGGRESS MALTREAT T,J CONSULT CLIN PSYCH,31,4.593
HEALTH POLICY,HEALTH AFFAIR,163,4.98
TOP COGN SCI,P NATL ACAD SCI USA,42,9.661
J PURCH SUPPLY MANAG,SYST PRACT ACT RES,4,0.677
INT J COMMUN-US,J MASS COMMUN Q,66,1.301
J BUS RES,FORBES,14,2.151
ADMIN SCI QUART,ORGAN SCI,145,2.691
EUR J WORK ORGAN PSY,J OCCUP ORGAN PSYCH,109,3.139
AM J HEALTH PROMOT,AM J PUBLIC HEALTH,45,3.858
J GLOB INF TECH MAN,J INF TECHNOL,10,6.953
ADDICT BEHAV,SUBST USE MISUSE,76,1.234
PSYCHOL WOMEN QUART,J APPL PSYCHOL,39,4.130
MEDIA CULT SOC,NEW MEDIA SOC,42,4.180
ACCOUNT ORG SOC,J ACCOUNT RES,103,3
THEOR PSYCHOL,PSYCHOL REV,22,7.638
J PERS SOC PSYCHOL,BASIC APPL SOC PSYCH,14,1.818
DEV PSYCHOPATHOL,CHILD DEV PERSPECT,29,3.911
J YOUTH ADOLESCENCE,INT J BEHAV DEV,47,1.850
LANG EDUC-UK,J RES SCI TEACH,11,3.179
J PUBL ADM RES THEOR,ACAD MANAGE J,47,7.417
J COUNS PSYCHOL,PSYCHOTHER RES,90,2.556
J INTERACT MARK,J INTERACT MARK,112,5.026
MERRILL PALMER QUART,DEV PSYCHOPATHOL,8,3.244
ENVIRON MODELL SOFTW,SYST PRACT ACT RES,5,0.677
SOC SCI MED,BIOSOCIETIES,12,2.162
J PUBL ADM RES THEOR,AM REV PUBLIC ADM,40,1.438
PLOS ONE,MED CARE RES REV,29,2.189
PLOS ONE,ACTA PSYCHIAT SCAND,285,6.79
APPL SOFT COMPUT,TECHNOL ECON DEV ECO,33,2.628
J CLEAN PROD,SOC SCI J,10,0.715
EMPL RELAT,HUM RESOUR MANAGE-US,51,1.817
INT J BILING EDUC BI,LANG EDUC-UK,23,1.254
INT J DISAST RISK RE,J CONTING CRISIS MAN,17,1.373
PSYCHON B REV,PSYCHOL LEARN MOTIV,31,2.821
PLOS ONE,J EXP PSYCHOL-APPL,57,2.156
PLOS ONE,EUR PSYCHOL,23,3.419
EUR REV APPL PSYCHOL,PERS INDIV DIFFER,17,2.005
INNOVATION-ABINGDON,SCI PUBL POLICY,8,1.538
PLOS ONE,EVAL PROGRAM PLANN,16,1.137
AM ECON J-MICROECON,J ECON THEORY,63,1.147
EARLY CHILD RES Q,CHILD DEV,438,4.195
PLOS ONE,NEUROPSYCHOLOGY,112,3.286
J BUS-BUS MARK,EUR J MARKETING,25,1.333
INF SYST E-BUS MANAG,INFORM SYST RES,37,2.763
CLIN PSYCHOL PSYCHOT,CLIN PSYCHOL REV,38,8.897
BRIT J SOC PSYCHOL,EUR J SOC PSYCHOL,71,1.973
FRONT PSYCHOL,J POSIT PSYCHOL,48,2.327
PSYCHOL REP,PSYCHOL REP,91,0.629
INT ENTREP MANAG J,J SMALL BUS MANAGE,96,2.876
AM J ORTHOPSYCHIAT,AM J PUBLIC HEALTH,52,3.858
J INTERACT MARK,J CONSUM PSYCHOL,38,3.385
MEDIA PSYCHOL,MEDIA PSYCHOL,58,3.125
VOLUNTAS,NONPROF VOLUNT SEC Q,280,1.852
INT J LOGIST MANAG,INT J LOGIST-RES APP,18,1.018
MANAGE LEARN,J MANAGE STUD,52,3.962
PLOS ONE,PSYCHOL SCI PUBL INT,15,14.143
J SOC SOC WORK RES,SCHIZOPHR RES,20,3.986
J COLL STUDENT DEV,J COLL STUDENT DEV,225,0.623
J BUS ECON MANAG,EXPERT SYST APPL,50,3.928
COGNITION,J EXP PSYCHOL HUMAN,220,2.287
PSYCHOL RES-PSYCH FO,J EXP PSYCHOL HUMAN,177,2.287
EDUC PSYCHOL MEAS,MULTIVAR BEHAV RES,40,2.593
EUR MANAG REV,J MANAGE,37,7.733
J WORLD BUS,MANAGE INT REV,122,1.516
J SERV RES-US,J ACAD MARKET SCI,79,5.888
J CRIM LAW CRIM,CRIMINOLOGY,24,5.019
FRONT PSYCHOL,J HEALTH PSYCHOL,33,2.182
J CLIN PSYCHIAT,BRIT J PSYCHIAT,176,6.347
NEUROIMAGE,BRAIN COGNITION,130,2.432
SCHOOL PSYCHOL INT,J ADOLESCENCE,22,1.795
COMPUT EDUC,COMPUT HUM BEHAV,286,3.435
HEALTH EDUC J,HEALTH PROMOT INT,24,1.722
DISABIL HEALTH J,HEALTH AFFAIR,32,4.98
DEVELOPMENTAL SCI,J EXP CHILD PSYCHOL,119,2.602
INT SMALL BUS J,ACAD MANAGE REV,95,9.408
CHILD YOUTH SERV REV,CHILD DEV,210,4.195
MEMORY,PSYCHOL REV,129,7.638
EURASIA J MATH SCI T,STUD EDUC EVAL,10,0.717
QUAL HEALTH RES,QUAL INQ,48,1.159
SOC STUD SCI,RES POLICY,26,4.495
EUR SOCIOL REV,RATION SOC,6,0.486
SELF IDENTITY,PSYCHOL BULL,64,16.793
VA LAW REV,VA LAW REV,125,2.589
BMC GERIATR,J AM GERIATR SOC,452,4.388
J PHYS ACT HEALTH,SPAT COGN COMPUT,6,1.167
BMC HEALTH SERV RES,REPROD HEALTH MATTER,22,0.94
HUMOR,PERS INDIV DIFFER,12,2.005
CHILD YOUTH SERV REV,CHILD YOUTH SERV REV,1117,1.226
CAN J EXP PSYCHOL,J MEM LANG,34,3.065
BMC PUBLIC HEALTH,RES Q EXERCISE SPORT,82,1.815
CHILD PSYCHIAT HUM D,EUR CHILD ADOLES PSY,58,3.295
INT J PROD RES,INT J OPER PROD MAN,176,3.339
ENVIRON RESOUR ECON,J PUBLIC ECON,62,1.538
INFORM TECHNOL DEV,J INT DEV,15,0.786
J ADOLESCENT HEALTH,PEDIATRICS,280,5.705
ECONOMETRICA,AM ECON REV,174,4.026
J BEHAV ADDICT,ADDICT RES THEORY,27,1.324
SERV BUS,J BUS RES,69,3.354
PERS RELATIONSHIP,J SOC PERS RELAT,103,1.425
FRONT PSYCHOL,PERCEPTION,227,1.087
SYNTHESE,TOP COGN SCI,24,2
EUR REV SOC PSYCHOL,SOC INFLUENCE,5,1
HEALTH COMMUN,COMMUN MONOGR,73,1.738
MANAGE LEARN,ORGAN STUD,74,3.107
J GLOB INF TECH MAN,EUR J INFORM SYST,10,2.819
DEPRESS ANXIETY,BEHAV RES THER,121,4.064
FRONT PSYCHOL,PSYCHOL REC,30,0.702
INT J COMMUN-US,J APPL COMMUN RES,23,0.308
APPL LINGUIST,APPL LINGUIST,37,3.593
EVALUATION REV,AM EDUC RES J,9,2.931
INT J DES,DESIGN STUD,11,2.415
IND CORP CHANGE,RES POLICY,240,4.495
INT J SELECT ASSESS,J PERS SOC PSYCHOL,49,5.017
J SEX RES,CULT HEALTH SEX,52,1.951
J GLOB INF MANAG,DECIS SUPPORT SYST,31,3.222
PSYCHOL MED,NEUROIMAGE,309,5.835
EVOL ANTHROPOL,PLOS ONE,40,2.806
EURASIA J MATH SCI T,EDUC STUD MATH,68,0.959
INTERNET RES,J MARKETING RES,71,3.654
J CRIM JUST,SOC PROBL,32,1.684
GAMES HEALTH J,GAMES HEALTH J,134,2.019
J DEV BEHAV PEDIATR,J DEV BEHAV PEDIATR,100,2.393
PHYSIOL BEHAV,PLOS ONE,347,2.806
J BUS IND MARK,STRATEGIC MANAGE J,142,4.461
NEW MEDIA SOC,JOURNALISM,28,1.484
READ TEACH,READ TEACH,176,0.69
BUS SOC,ADMIN SCI QUART,36,4.929
CONSCIOUS COGN,CONSCIOUS COGN,391,2.144
TIJDSCHR COMMUNWET,J PERS SOC PSYCHOL,16,5.017
HEALTH PSYCHOL REV,HEALTH PSYCHOL REV,147,7.241
J CLEAN PROD,SOC SCI QUART,22,0.849
INT J BILINGUAL,COGNITION,32,3.414
FUTURE CHILD,DEV PSYCHOL,22,3.228
HUM RESOUR MANAGE-US,J APPL PSYCHOL,291,4.130
STUD CONTIN EDUC,EDUC RESEARCHER,8,3.827
J ADDICT NURS,J ADDICT NURS,6,0.400
J APPL PSYCHOL,J PERS PSYCHOL,12,1.098
PLOS ONE,J ANXIETY DISORD,98,3.105
PLOS ONE,SCI COMMUN,18,1.852
J BROADCAST ELECTRON,J COMMUN,62,3.914
PROJ MANAG J,PROJ MANAG J,102,2.714
TEACH TEACH EDUC,PSYCHOL SCHOOLS,33,1.190
J SMALL BUS MANAGE,J SMALL BUS MANAGE,245,2.876
EUR SOCIOL REV,SOC FORCES,30,2.113
CHILD ADOL PSYCH CL,J CONSULT CLIN PSYCH,74,4.593
BEHAV PSYCHOL,BEHAV RES THER,15,4.064
CRIME DELINQUENCY,JUSTICE Q,138,3.072
SOC FORCES,SOCIOL PERSPECT,16,1.133
ANN CLIN PSYCHIATRY,J NERV MENT DIS,18,1.860
PSYCHOL SCHOOLS,PSYCHOL SCHOOLS,131,1.190
PSYCHOPATHOLOGY,SCHIZOPHR RES,46,3.986
COMPUT EDUC,J EDUC COMPUT RES,63,0.678
CHILD YOUTH SERV REV,J SOC SERV RES,29,0.574
MIS QUART,ACAD MANAGE J,36,7.417
J ORGAN END USER COM,J MANAGE INFORM SYST,29,2.356
MIND CULT ACT,MIND CULT ACT,59,1.114
ANNU REV SOCIOL,SOCIOL SPECTRUM,5,0.421
HEALTH POLICY,JAMA-J AM MED ASSOC,77,44.405
J COGN PSYCHOL,COGNITION,93,3.414
PSYCHIAT CLIN N AM,PSYCHIAT CLIN N AM,24,2.172
RES NURS HEALTH,J ADV NURS,27,1.998
REV IND ORGAN,J REGUL ECON,24,0.909
PSYCHOL MEN MASCULIN,AM PSYCHOL,23,6.681
HIGH EDUC,J STUD INT EDUC,26,1.294
EDUC MEAS-ISSUES PRA,J EDUC MEAS,36,0.979
J BUS ETHICS,CROSS CULT MANAG,8,1.08
ADMIN SCI QUART,AM SOCIOL REV,68,4.4
APPL COGNITIVE PSYCH,LAW HUMAN BEHAV,99,2.822
NURS EDUC TODAY,NURS ETHICS,33,1.755
HUM RESOUR MANAGE-US,J EMPLOYMENT COUNS,4,1.067
LANG TEST,EDUC MEAS-ISSUES PRA,16,1.419
J AM MED INFORM ASSN,INT J MED INFORM,81,3.210
EXP ECON,J PUBLIC ECON,34,1.538
MOTIV EMOTION,PSYCHOL SCI,79,5.667
ACAD MANAG LEARN EDU,ADMIN SCI QUART,39,4.929
HEALTH CARE MANAGE R,NEW ENGL J MED,29,72.406
PUBLIC RELAT REV,J COMMUN,41,3.914
RES HIGH EDUC,SOCIOL EDUC,39,2.697
J APPL SPORT PSYCHOL,RES Q EXERCISE SPORT,18,1.815
PLOS ONE,MOTIV EMOTION,44,2.067
EUR J CRIMINOL,EUR J CRIMINOL,29,1.359
ANNU REV SOCIOL,AM J SOCIOL,58,3.088
MIL PSYCHOL,PSYCHOL BULL,23,16.793
J COMMUNITY PSYCHOL,AM J COMMUN PSYCHOL,102,2.108
J LIT RES,ELEM SCHOOL J,13,1.151
J SEX RES,PSYCHOL WOMEN QUART,81,2.432
STUD EDUC EVAL,TEACH TEACH EDUC,19,2.183
J ECON BEHAV ORGAN,J LABOR ECON,69,2.887
GROUP PROCESS INTERG,EUR REV SOC PSYCHOL,11,1.389
J APPL BEHAV ANAL,PSYCHOL REC,20,0.702
J CONTING CRISIS MAN,RISK ANAL,16,2.518
HEALTH EXPECT,HEALTH EXPECT,132,1.669
YALE LAW J,YALE LAW J,173,4.258
HUM RELAT,ACAD MANAGE J,209,7.417
INT J HUM RESOUR MAN,J MANAGE PSYCHOL,55,1.195
MARKET SCI,J CONSUM RES,49,3.800
RES DEV DISABIL,AUTISM,49,3.684
Q J EXP PSYCHOL,J EXP PSYCHOL GEN,141,4.420
SOC PSYCHOL PERS SCI,J EXP SOC PSYCHOL,99,2.159
REV WORLD ECON,Q J ECON,35,6.662
TURK PSIKOL DERG,TURK PSIKOL DERG,9,0.077
LEADERSHIP ORG DEV J,J MANAGE PSYCHOL,30,1.195
J CRIM JUST,DEVIANT BEHAV,16,1.052
SUSTAINABILITY-BASEL,CALIF MANAGE REV,57,2.943
INTERACT LEARN ENVIR,INTERNET HIGH EDUC,30,4.238
J SCI EDUC TECHNOL,J SCI EDUC TECHNOL,173,1.080
INT J MENT HEALTH NU,AUST NZ J PSYCHIAT,32,4.036
J ORGAN BEHAV,J PERS PSYCHOL,8,1.098
PLOS ONE,J APPL SOC PSYCHOL,70,1.231
FRONT PSYCHOL,EUR REV SOC PSYCHOL,34,1.389
J BEHAV HEALTH SER R,AM J PSYCHIAT,32,14.176
EURASIA J MATH SCI T,ASIA-PAC EDUC RES,11,0.576
WORK,PSYCHIATR REHABIL J,26,1.037
PLOS ONE,AM J HEALTH PROMOT,40,2.586
DISCOURSE STUD,LANGUAGE,18,1.714
J MANAGE PSYCHOL,J PERS PSYCHOL,7,1.098
J PERS DISORD,J PERS ASSESS,52,2.024
TRANSPORT RES F-TRAF,PSYCHOL REP,32,0.629
SOC FORCES,J MARRIAGE FAM,61,2.238
PLOS ONE,COGNITION EMOTION,207,2.688
SOC COGN AFFECT NEUR,NEUROIMAGE,876,5.835
HUM RELAT,MANAGE LEARN,28,1.836
J GENET PSYCHOL,PSYCHOL BULL,19,16.793
J MORAL EDUC,DEV PSYCHOL,12,3.228
J ADOLESCENT RES,SEX ROLES,12,1.954
TIJDSCHR COMMUNWET,PUBLIC RELAT REV,9,1.311
J CLEAN PROD,BRIT ACCOUNT REV,36,2.135
WORK,WORK,600,0.779
COMPUT HUM BEHAV,DATA BASE ADV INF SY,18,0.458
SOC SCI MED,ANNU REV SOCIOL,118,5.404
PLOS ONE,CAN J PUBLIC HEALTH,81,1.343
PSYCHIAT PRAX,PSYCHIAT PRAX,148,1.302
SOCIOL HEALTH ILL,AM J PUBLIC HEALTH,25,3.858
J KOREA TRADE,STRATEGIC MANAGE J,19,4.461
J MORAL EDUC,J MORAL EDUC,47,0.644
TOB CONTROL,ADDICTION,128,5.789
J ENVIRON ECON MANAG,J PUBLIC ECON,42,1.538
CHILD YOUTH SERV REV,J ADOLESCENT RES,30,1.433
J APPL PSYCHOL,PERS PSYCHOL,248,4.362
PUBLIC RELAT REV,J PUBLIC RELAT RES,179,1.720
EUR J PSYCHOL APPL L,J INTERPERS VIOLENCE,14,1.940
J GEN PSYCHOL,PSYCHOL AGING,19,2.812
INT J HOSP MANAG,J HOSP TOUR RES,109,2.646
PLOS ONE,J NEUROSCI PSYCHOL E,4,1.188
ACTA SOCIOL,EUR SOCIOL REV,24,2.062
INT J INTERCULT REL,INT J INTERCULT REL,205,1.183
BMJ OPEN,INT J SOC RES METHOD,22,1.396
SOC JUSTICE RES,SOC JUSTICE RES,38,0.796
ELT J,TESOL QUART,17,2.056
INT J PROJ MANAG,PROJ MANAG J,369,2.714
TIME SOC,STRUCT EQU MODELING,11,3.097
NEUROREHABILITATION,J HEAD TRAUMA REHAB,97,3.214
FRONT PSYCHOL,NEUROPSYCHOLOGIA,733,3.197
INT J PRESS/POLIT,JOURNALISM STUD,25,1.927
J YOUTH ADOLESCENCE,MERRILL PALMER QUART,34,1.05
ECON MODEL,AM ECON REV,436,4.026
J IMMIGR MINOR HEALT,J TRANSCULT NURS,16,1.262
J ACCOUNT PUBLIC POL,J FINANC ECON,73,4.505
EUR SOCIOL REV,AM SOCIOL REV,56,4.4
PSYCHON B REV,J EXP PSYCHOL LEARN,250,2.667
J MARRIAGE FAM,FUTURE CHILD,17,2.583
J CHILD FAM STUD,J CHILD ADOLES SUBST,9,0.506
EDUC PSYCHOL-UK,BRIT J EDUC PSYCHOL,84,2.403
LEADERSHIP ORG DEV J,J PERS SOC PSYCHOL,75,5.017
Q J ECON,REV ECON STAT,38,2.926
BMC HEALTH SERV RES,QUAL RES PSYCHOL,25,1.481
PSYCHON B REV,J EXP PSYCHOL HUMAN,292,2.287
WORK EMPLOY SOC,EUR SOCIOL REV,25,2.062
EXP PSYCHOL,MEM COGNITION,44,2.253
PSYCHIAT RES,BEHAV COGN PSYCHOTH,40,1.697
J LEGAL STUD,Q J ECON,12,6.662
BUS HORIZONS,J BUS ETHICS,36,2.354
HEALTH PROMOT J AUST,HEALTH PROMOT INT,23,1.722
ENVIRONMENT,SCIENCE,7,37.205
BRAIN INJURY,NEUROREHABILITATION,55,1.495
WASH LAW REV,COLUMBIA LAW REV,55,3.775
J CLIN CHILD ADOLESC,CHILD YOUTH CARE FOR,7,1.054
COMPUT HUM BEHAV,SOC BEHAV PERSONAL,40,0.548
SOC SCI RES,EUR SOCIOL REV,63,2.062
J APPL SOC PSYCHOL,BRIT J SOC PSYCHOL,44,1.692
ASIA PAC EDUC REV,ASIA-PAC EDUC RES,8,0.576
SPORT MANAG REV,SPORT MANAG REV,151,2.128
PERS REV,CAREER DEV INT,34,1.038
IEEE T PROF COMMUN,MIS QUART,40,7.268
ADDICT BEHAV,EUR ADDICT RES,22,2.592
ADM POLICY MENT HLTH,COMMUNITY MENT HLT J,35,1.154
AM J SOCIOL,SOCIOL METHODOL,24,2.667
GAME ECON BEHAV,Q J ECON,72,6.662
ELECTRON COMMER RES,INFORM SYST RES,27,2.763
INT BUS REV,EUR MANAG J,40,2.481
FRONT PSYCHOL,PSYCHOL SPORT EXERC,135,2.809
AM J AGR ECON,REV ECON STAT,45,2.926
BMC HEALTH SERV RES,HEALTH SOC CARE COMM,43,2.047
PERS INDIV DIFFER,PSYCHOL BELG,6,0.806
INT J OFFENDER THER,YOUTH VIOLENCE JUV J,21,2.372
COGN PROCESS,PSYCHOL REV,39,7.638
FRONT PSYCHOL,SPAN J PSYCHOL,25,0.502
PSYCHIATR REHABIL J,COMMUNITY MENT HLT J,58,1.154
J PSYCHOEDUC ASSESS,PERS INDIV DIFFER,41,2.005
HEALTH QUAL LIFE OUT,SOC SCI MED,67,2.797
HUM PERFORM,J ORGAN BEHAV,43,3.607
INT J SELECT ASSESS,PERS INDIV DIFFER,33,2.005
NEUROPSYCHOLOGIA,AGING NEUROPSYCHOL C,24,1.763
RES SCI EDUC,J RES SCI TEACH,143,3.179
SCI CULT-UK,SCI CULT-UK,25,0.771
J STRATEGIC INF SYST,MIS QUART,198,7.268
HEALTH COMMUN,SOC SCI MED,79,2.797
J FAM THEOR REV,FAM RELAT,49,1.426
SOC SEMIOT,VISUAL COMMUN-US,12,0.689
PSYCHOMETRIKA,APPL PSYCH MEAS,72,0.885
J DESTIN MARK MANAGE,INT J TOUR RES,49,1.857
AGEING SOC,AGEING SOC,240,1.386
INSTR SCI,COGNITIVE SCI,26,2.917
EUR J OPER RES,INT J LOGIST-RES APP,16,1.018
MARKETING THEOR,EUR J MARKETING,44,1.333
PUBLIC ADMIN REV,J PUBL ADM RES THEOR,259,3.624
J POSIT PSYCHOL,J POSIT PSYCHOL,108,2.327
J SOCIOLING,LANG COMMUN,15,0.793
CLIN PSYCHOL PSYCHOT,BEHAV RES THER,86,4.064
EPIDEMIOL PSYCH SCI,PSYCHIAT SERV,45,2.888
COMMUN MONOGR,COMMUN RES,31,3.021
AN PSICOL-SPAIN,CHILD DEV,39,4.195
J SOC PSYCHOL,SELF IDENTITY,19,1.463
ARCH SEX BEHAV,BODY IMAGE,41,2.926
INT J MANPOWER,ILR REV,43,1.419
EUR J WORK ORGAN PSY,ACAD MANAGE REV,103,9.408
SCAND J PSYCHOL,J PERS SOC PSYCHOL,118,5.017
INTEGR PSYCHOL BEHAV,MIND CULT ACT,12,1.114
SAFETY SCI,APPL ERGON,72,1.866
INT J RES MARK,QME-QUANT MARK ECON,12,1.333
J CRIM JUST,SOCIOL INQ,9,0.68
PSYCHOL AGING,PSYCHOL SCI,83,5.667
EUR REV APPL PSYCHOL,J PERS SOC PSYCHOL,37,5.017
ADDICTION,AM J ADDICTION,40,1.873
EDUC TECHNOL SOC,COMPUT HUM BEHAV,69,3.435
ELECTRON MARK,ELECTRON MARK,83,1.864
DRUS ISTRAZ,J EDUC PSYCHOL,15,3.459
SCIENTOMETRICS,INFORM PROCESS MANAG,94,2.391
AGEING SOC,ASIAN J SOC PSYCHOL,7,1
J EPIDEMIOL COMMUN H,AM J PUBLIC HEALTH,125,3.858
PERS INDIV DIFFER,REV GEN PSYCHOL,69,1.492
J SMALL BUS MANAGE,STRATEG ENTREP J,48,2.537
J INTERPERS VIOLENCE,J TRAUMA STRESS,101,2.254
SCAND J OCCUP THER,SCAND J OCCUP THER,108,1.114
EUR J COMMUN,EUR J COMMUN,56,1.408
BRIT J EDUC TECHNOL,J COMPUT ASSIST LEAR,53,1.253
INFORM DEV,ELECTRON MARK,20,1.864
J EXP EDUC,PSYCHOL BULL,29,16.793
INT J HUM RESOUR MAN,BRIT J MANAGE,59,2.982
J PSYCHOPATHOL BEHAV,J ANXIETY DISORD,75,3.105
ENVIRON MODELL SOFTW,SYST RES BEHAV SCI,10,1.034
APPL NURS RES,JAMA-J AM MED ASSOC,59,44.405
TECHNOL FORECAST SOC,SCI TECHNOL SOC,4,1.297
J AUTISM DEV DISORD,DISCOURSE STUD,16,0.833
COMPUT HUM BEHAV,J CONSUM BEHAV,23,1.481
INT J CONSUM STUD,J CONSUM BEHAV,34,1.481
FAM BUS REV,ADMIN SCI QUART,37,4.929
J APPL BEHAV ANAL,J APPL BEHAV ANAL,689,0.914
INT J INFORM MANAGE,INT J INFORM MANAGE,220,3.872
BMJ OPEN,HEALTH POLICY,157,2.119
INT J OFFENDER THER,CRIM JUSTICE BEHAV,123,2.099
PLOS ONE,BRIT J PSYCHIAT,442,6.347
J RES READ,READ RES QUART,40,1.596
INT J ACCOUNT INF SY,INT J ACCOUNT INF SY,71,1.056
COMPR PSYCHIAT,PSYCHOL MED,143,5.23
INT J HUM-COMPUT ST,COMPUT HUM BEHAV,28,3.435
J THEOR APPL EL COMM,INFORM SYST RES,15,2.763
ENG STUD,ENG STUD,8,0.234
COMMUN RES,COMMUN THEOR,28,2.773
INT J PUBLIC OPIN R,INT J PUBLIC OPIN R,55,1.254
PLOS ONE,PRAX KINDERPSYCHOL K,6,0.235
PSYCHIAT RES,J AFFECT DISORDERS,650,3.432
INT J ENV RES PUB HE,J HEALTH CARE POOR U,25,0.916
CITIES,LANDSCAPE URBAN PLAN,74,4.563
J INT DEV,AM ECON REV,22,4.026
J ACAD LIBR,LIBR TRENDS,24,0.259
PERS INDIV DIFFER,CLIN PSYCHOL-SCI PR,42,2.38
J LANG SOC PSYCHOL,DISCOURSE SOC,22,1.029
AM BEHAV SCI,J PERS SOC PSYCHOL,47,5.017
EDUC RES REV-NETH,J SECOND LANG WRIT,21,1.591
ORGAN SCI,ADMIN SCI QUART,403,4.929
COGNITIVE THER RES,CLIN PSYCHOL REV,105,8.897
J DESTIN MARK MANAGE,J VACAT MARK,32,1.148
SOCIOLOGY,SOCIOLOGY,204,1.963
GERONTOLOGIST,J GERONTOL B-PSYCHOL,125,3.064
NURS ETHICS,NURS EDUC TODAY,40,2.533
PROJ MANAG J,J PROD INNOVAT MANAG,53,3.759
JOURNALISM,JOURNALISM,112,1.484
PSYCHOSOM MED,J PSYCHOSOM RES,67,2.809
EXPERT SYST APPL,TELEMAT INFORM,12,3.398
RES TECHNOL MANAGE,RES TECHNOL MANAGE,41,2.429
SOC COGN AFFECT NEUR,P NATL ACAD SCI USA,285,9.661
CAN J EXP PSYCHOL,PSYCHOL REV,39,7.638
J EXP PSYCHOL GEN,SOC COGNITION,30,1.813
J EXP CHILD PSYCHOL,READ WRIT,47,1.489
COMPUT HUM BEHAV,J SCH VIOLENCE,13,2.421
INT J COMMUN-US,J PUBLIC RELAT RES,45,1.720
PSYCHOL HEALTH MED,PSYCHOL HEALTH MED,45,1.5
J MANAGE PSYCHOL,GROUP ORGAN MANAGE,29,1.846
NURS RES,NURS RES,36,1.929
BRIT J EDUC PSYCHOL,METACOGN LEARN,16,2.419
PSYCHOL VIOLENCE,J PERS SOC PSYCHOL,40,5.017
AUST NZ J PUBL HEAL,HEALTH PROMOT J AUST,13,1.097
INT J COMMUN-US,CONTINUUM-J MEDIA CU,19,0.468
PATIENT EDUC COUNS,SOC SCI MED,182,2.797
J ADVERTISING,INT J ADVERT,39,2.451
PSYCHOL AGING,EUR J AGEING,12,1.177
SYNTHESE,SYNTHESE,264,0.855
STUD CONTIN EDUC,STUD HIGH EDUC,19,1.527
FRONT PSYCHOL,CONSCIOUS COGN,366,2.144
COGNITIVE THER RES,J PERS SOC PSYCHOL,83,5.017
AGGRESSIVE BEHAV,Z PSYCHOL,7,1.83
ARCH SEX BEHAV,J SEX MARITAL THER,136,1.935
J BUS ETHICS,SOC JUSTICE RES,20,0.796
BMC PUBLIC HEALTH,J COMMUN HEALTH,35,1.388
J PUBLIC ECON,AM ECON REV,265,4.026
CRISIS,AM J PSYCHIAT,45,14.176
ATTEN PERCEPT PSYCHO,AM J PSYCHOL,26,0.629
EVAL PROGRAM PLANN,AM J COMMUN PSYCHOL,21,2.108
HEALTH PSYCHOL,JAMA-J AM MED ASSOC,76,44.405
HUM RESOUR MANAGE R,ACAD MANAGE J,99,7.417
ORGAN BEHAV HUM DEC,ORGAN BEHAV HUM DEC,454,2.454
ECONOMETRICA,REV ECON STUD,94,4.03
PEDIATRICS,CHILD CARE HLTH DEV,34,1.445
BRIT J PSYCHIAT,PSYCHOL MED,175,5.23
